tag,type,count,aliases
vaginal_fluids,0,189154,"bitch_juice,female_cum,femcum,femjuice,girl_cum,grool,pussy_juice,pussy_juices,pussyjuice,vaginal_fluid,vaginal_juice,vaginal_juices,vaginal_secretion,vaginal_secretions,wet_pussy"
male_penetrating_male,0,186660,"m/p/m,♂_penetrating_♂"
anthro_penetrated,0,185115,non-humanoid_creature_penetrating_anthro
gynomorph,0,184727,"adult_gynomorph,dgirl,dick-girl,dick_girl,dickgirl,dickgirls,dickgril,feminine_intersex,futa_sans_pussy,girl_with_a_cock,girl_with_a_dick,girl_with_a_dicks,girl_with_a_dong,girl_with_a_penes,girl_with_a_penii,girl_with_a_penis,girl_with_a_penises,girl_with_a_phallus,girl_with_cock,girl_with_dick,girl_with_dicks,girl_with_dong,girl_with_penes,girl_with_penii,girl_with_penis,girl_with_penises,girl_with_phallus,girls_with_a_cock,girls_with_a_dick,girls_with_a_dicks,girls_with_a_dong,girls_with_a_penes,girls_with_a_penii,girls_with_a_penis,girls_with_a_penises,girls_with_a_phallus,girls_with_cock,girls_with_dick,girls_with_dicks,girls_with_dong,girls_with_penes,girls_with_penii,girls_with_penis,girls_with_penises,girls_with_phallus,gynomorph_non-humanoid_creature,gynomorph_student,gynomorph_teacher,intersex_female,male_to_female_trans_sexual,shemale,woman_with_a_cock,woman_with_a_dick,woman_with_a_dicks,woman_with_a_dong,woman_with_a_penes,woman_with_a_penii,woman_with_a_penis,woman_with_a_penises,woman_with_a_phallus,woman_with_cock,woman_with_dick,woman_with_dicks,woman_with_dong,woman_with_penes,woman_with_penii,woman_with_penis,woman_with_penises,woman_with_phallus,women_with_a_cock,women_with_a_dick,women_with_a_dicks,women_with_a_dong,women_with_a_penes,women_with_a_penii,women_with_a_penis,women_with_a_penises,women_with_a_phallus,women_with_cock,women_with_dick,women_with_dicks,women_with_dong,women_with_penes,women_with_penii,women_with_penis,women_with_penises,women_with_phallus"
orgasm,0,181015,"climax,powerful_orgasm"
precum,0,166415,"pre,pre-cum,pre_cum"
penis_in_pussy,0,161899,penis_in_vagina
canine_genitalia,0,160372,canine_genitals
foreskin,0,154293,"uncircumcised,uncircumcised_penis,uncircumsized,uncircumsized_penis,uncut,uncut_cock,uncut_penis"
masturbation,0,152744,"clopping,fap,fapping,female_masturbation,feral_masturbation,jacking_off,jerk_off,jerking_off,masterbating,masterbation,mastrubation,mastubration,masturabation,masturabtion,masturbate,masturbating,masturbation_only,onanism,pawing,pawing_off,pleasuring_self,schlick,self-pleasure,wank,wanking"
from_behind_position,0,151815,"behind_position,fucked_from_behind,sex_from_behind,taken_from_behind"
fellatio,0,150436,"bj,blow,blow_job,blowjob,cock_sucking,dick_sucking,felatio,fellation,muzzle_docking,penis_sucking,sucking_cock,sucking_dick,sucking_penis"
equine_genitalia,0,148896,
cum_in_pussy,0,146958,"cum_in_vagina,cum_inside_pussy,implied_impregnation,vaginal_creampie,vaginal_cum,vaginal_cumshot"
anthro_penetrating,0,145576,anthro_penetrating_non-humanoid_creature
huge_penis,0,142849,"giant_penis,gigantic_penis,huge_cock,huge_dick"
canine_penis,0,141966,"canid_cock,canid_penis,canine-penis,canine_cock,canine_dick,dog_cock,dog_dick,dog_penis,dogcock,fox_cock,fox_dick,fox_penis,foxcock,k9_cock,k9_penis,wolf_cock,wolf_dick,wolf_penis,wolfcock"
dominant,0,141768,"dom,dominance,dominant_non-humanoid_creature,dominate,dominated,dominating,domination,domme,student_dominating_teacher,teacher_dominating_student"
veiny_penis,0,138173,"cock_vein,penis_blood_vein,penis_vein,vainly_penis,veiny_cock"
bdsm,0,135616,
cum_in_ass,0,131114,"anal_creampie,anal_cum,anal_cumshot,creampied_anus,cum_in_anus,cum_in_butt,cum_inside_ass"
sex_toy,0,129780,"black_sex_toy,blue_sex_toy,brown_sex_toy,green_sex_toy,grey_sex_toy,orange_sex_toy,pink_sex_toy,purple_sex_toy,red_sex_toy,sex-toy,sex_toys,sextoy,sextoys,tan_sex_toy,teal_sex_toy,white_sex_toy,yellow_sex_toy"
equine_penis,0,129140,"equine_cock,equine_dick,equine_prick,equined_penis,horse-cock,horse-dick,horse-hung,horse-prick,horse_cock,horse_dick,horse_hung,horse_penis,horse_prick,horsecock,horsecocks,horsedick,horsehung,horseprick,inexplicable_horsecock"
submissive,0,126067,"sub,submisive,submission,submissiv,submissive_non-humanoid_creature"
anthro_penetrating_anthro,0,121832,"a/p/a,an-pene-an"
clitoris,0,116159,"clit,exposed_clitoris"
presenting_hindquarters,0,114784,"butt_presenting,presenting_ass,presenting_behind,presenting_booty,presenting_butt,presenting_hindquarter,presenting_rear,showing_ass"
backsack,0,113818,back_sack
bondage,0,110247,"consensual_bondage,consentual_bondage"
cumshot,0,109578,"cum_shot,moneyshot,shooting_cum"
from_front_position,0,108276,
group_sex,0,101020,
pink_nipples,0,97005,pink_nipple
nipple_piercing,0,96117,"nipple_piercings,nipples_piercing,pierced_nipple,pierced_nipples"
oral_penetration,0,94835,"oral_insertion,throat_penetration"
forced,0,90980,"force,forced_vore,non-con,non-consensual,non_consensual,noncon,nonconsensual,nonconsenual,unconsensual,unwilling"
on_bottom,0,89724,
cum_in_mouth,0,89394,"cum_on_teeth,oral_creampie,oral_cumshot"
huge_balls,0,86927,huge_testicles
sheath,0,84562,"monotone_sheath,sheathe,sheathed_cock"
cum_on_face,0,84282,"cum_in_face,cum_on_mouth,cum_on_nose,facial,facial_cumshot"
bestiality,0,81856,"animal_on_woman,beastialily,beastiality,involuntary_bestiality,man_on_animal,zoophilia"
dildo,0,79402,dildos
penis_in_ass,0,78755,"cock_in_ass,penis_in_anus"
hyper_genitalia,0,77192,"hyper_genital,hyper_genitals"
glans,0,72104,
submissive_male,0,71463,"male_dominated,male_sub,male_submission,male_submissive,malesub,submale,submisive_male"
abdominal_bulge,0,70166,"abdominal_buldge,belly_bulge,stomach_bulge,stomach_bulging,stomach_deformation"
internal,0,67668,"inside_view,interal,internal_shot,internal_view"
cum_on_penis,0,66212,"cum_on_cock,cum_on_dick"
hyper_penis,0,65733,"hyper_cock,hyper_dick,hypercock,hyperdick,hyperphallic,impossibly_large_penis,unusually_hyper_penis"
vore,0,65102,"eaten,micro_insertion,vorarephilia,vore_belly,vore_sex,voreaphilia,vorephilia"
after_sex,0,64176,"after-coital,after-coitus,after-inter_course,after-intercourse,after-sex,after-sexual_inter_course,after-sexual_intercourse,after_coital,after_coitus,after_inter_course,after_intercourse,after_sexual_inter_course,after_sexual_intercourse,aftercoital,aftercoitus,afterinter_course,afterintercourse,aftersex,aftersexual_inter_course,aftersexual_intercourse,post-coital,post-coitus,post-inter_course,post-intercourse,post-sex,post-sexual_inter_course,post-sexual_intercourse,post_coital,post_coitus,post_inter_course,post_intercourse,post_sex,post_sexual_inter_course,post_sexual_intercourse,postcoital,postcoitus,postinter_course,postintercourse,postsex,postsexual_inter_course,postsexual_intercourse"
penile_masturbation,0,60800,"autohandjob,penis_masturbation"
presenting_pussy,0,59886,"female_presenting_pussy,presenting_vagina"
disembodied_penis,0,58751,"disbodied_penis,disembodied_cock,disembodied_cocks,disembodied_dick,disembodied_dicks,disembodied_penises,floating_dicks,floating_penis"
cum_drip,0,58597,"cum_dripping,cumdrip,dripping_cum,dripping_semen"
flaccid,0,57840,"flaccid_bottom,flaccid_cock,flaccid_penis,flacid,flacid_penis,limp_penis,soft_cock,soft_dick,soft_dicked,soft_penis"
non-mammal_nipples,0,57529,
perineum,0,56795,"grundle,perinium,taint"
threesome,0,56716,"3some,menage_a_trois,three-way,three_some,three_way,threeway"
handjob,0,55972,hand_job
pink_penis,0,55088,pink_dick
breast_play,0,54740,
human_penetrating,0,54107,human_penetrating_non-humanoid_creature
erect_nipples,0,52871,"erect-niple,erect-niples,erect-nipple,erect-nipples,erect_niple,erect_niples,erect_nipple,errect-nipples,errect_nipples,nipple_erection,nipples_erection,perky,perky_breasts,perky_nipples"
pink_areola,0,52493,"pink_areolae,pink_areolas"
black_penis,0,51681,"black_cock,black_dick,blakc_penis"
doggystyle,0,51533,"doggie_style,doggiestyle,doggy-style,doggy_position,doggy_style,doggystyle_position"
cum_while_penetrated,0,50786,"cum_while_fucked,cumming_while_penetrated,ejaculating_while_penetrated,ejaculation_while_penetrated"
male_on_bottom,0,50258,
incest_(lore),0,49804,"after_incest,family_sex,incest,incestuous,turtlecest,wincest"
leaking_cum,0,49709,"cum_leak,cum_leaking"
dominant_male,0,49554,"dom_male,domiant_male,male_dom,male_dominance,male_dominant,male_dominating,male_domination,maledom"
hyper_breasts,0,49291,"hyper_boobs,hyper_breast,hyper_tits,hyperboob,oversized_breasts"
animal_pussy,0,47679,animal_vagina
presenting_anus,0,47106,
lactating,0,46928,"abitrary_lactation,arbitrary_lactation,lactacting,lactaction,lactate,lactating_nipples,lactation"
fingering,0,46531,fingerfuck
ahegao,0,46250,"ahe_gao,aheago,ahegao_face,ahego,ahegoa"
rape,0,45708,"forced_sex,reverse_rape"
feral_penetrating,0,45695,feral_penetrating_non-humanoid_creature
gag,0,45415,mouth_gag
cowgirl_position,0,45255,"cow_girl_position,cowboy_position"
hyper_balls,0,44675,hyper_testicles
feral_on_feral,0,44367,"f/o/f,fe/fe,feral/feral,feral_x_feral,feralxferal"
butt_grab,0,44344,"ass_fondle,ass_fondling,ass_grab,ass_grabbing,ass_grope,ass_groping,ass_squeeze,ass_squeezing,booty_fondle,booty_fondling,booty_grab,booty_grabbing,booty_grope,booty_groping,booty_squeeze,booty_squeezing,butt_fondle,butt_fondling,butt_grabbing,butt_grope,butt_groping,butt_squeezing,buttgrab,fondle_ass,fondle_booty,fondle_butt,fondling_ass,fondling_booty,fondling_butt,grab_ass,grab_booty,grab_butt,grabbing_ass,grabbing_booty,grabbing_butt,grope_ass,grope_booty,grope_butt,groping_ass,groping_booty,groping_butt,squeeze_ass,squeeze_booty,squeeze_butt,squeezing_ass,squeezing_booty,squeezing_butt"
female_on_top,0,44249,"girl_on_top,woman_on_top"
smaller_penetrated,0,42978,"big_penetrator_small_penetrated,larger_penetrating,larger_penetrating_smaller"
moan,0,42898,"moaning,moaning_in_pleasure,moans"
puffy_anus,0,42763,"donut_anus,donut_asshole,donut_butthole,doughnut_anus,doughnut_asshole,doughnut_butthole,ponut,puffy_asshole,puffy_butthole,thick_anus,thick_asshole,thick_butthole"
sex_toy_insertion,0,42217,
intersex/female,0,41887,"f/i,female/futa,female/futanari,female/intersex,female_on_futa,female_on_intersex,futa/female,futa_on_female,futanari/female,i/f,intersex_on_female"
pokephilia,0,41588,"anthro_on_pokemon,anthro_on_pokémon,feral_on_pokemon,feral_on_pokémon,human/pokemon,human/pokémon,human_on_pokemon,human_on_pokémon,humanoid/pokemon,humanoid/pokémon,humanoid_on_pokemon,humanoid_on_pokémon,pokefilia,pokefillia,pokemon/human,pokemon/humanoid,pokemon/trainer,pokemon_on_anthro,pokemon_on_feral,pokemon_on_human,pokemon_on_humanoid,pokemon_on_taur,pokephillia,pokémon/human,pokémon/humanoid,pokémon/trainer,pokémon_on_anthro,pokémon_on_feral,pokémon_on_human,pokémon_on_humanoid,pokémon_on_taur,poképhilia,poképhilla,poképhillia,taur_on_pokemon,taur_on_pokémon,trainer/pokemon,trainer/pokémon"
excessive_genital_fluids,0,41386,
big_dom_small_sub,0,41144,"big_dom,big_dom/small_sub,big_dom_little_sub,big_dominant,big_top_small_bottom,bigger_dom,large_dom,large_dom_small_sub,large_dominant,larger_dom,little_sub,little_submissive,small_sub,small_sub_big_dom,small_submissive,smaller_sub"
feral_penetrated,0,40890,
intersex/male,0,40488,"futa/male,futa_on_male,futa_with_male,futanari/male,i/m,intersex_on_male,m/i,male/futa,male/futanari,male/intersex,male_on_futa,male_on_intersex"
human_on_feral,0,40276,"f/o/hn,fe/hu,feral/human,feral_on_human,hn/o/f,hu/fe,human/feral"
big_areola,0,39596,"big_areolae,big_areolas,large_areola,large_areolae,large_areolas"
hands-free,0,39375,"hands_free,hands_free_cum,handsfree,handsfree_cum,handsfree_ejaculation"
breast_grab,0,38497,"boob_grab,breast_grope,breast_groping,breasts_grab,grab_breast,grabbing_breast,grabbing_breasts,grope_breast,groping_breast,groping_breasts"
excessive_cum,0,37772,"boundless_emission,excess_cum,excessive_semen,hyperspermia,lots_of_cum,too_much_cum"
camel_toe,0,37582,"cameltoe,horse_pussy_bulge,pussy_bulge,pussy_through_clothing"
submissive_female,0,37207,"fem_sub,female_dominated,female_sub,female_submission,female_submissive,femsub,subfem,subfemale,submisive_female"
male_pov,0,36705,
thick_penis,0,36177,thick_cock
big_nipples,0,35629,"big_nipple,large_nipple,large_nipples"
cum_on_self,0,35469,cum_on_own_body
intersex_penetrating,0,35285,"futa_penetrating,futanari_penetrating"
penis_lick,0,35150,"cock_licking,licking_cock,licking_penis,penis_licking"
ambiguous_penetration,0,35079,ambiguous_insertion
shota,0,34969,"shotacon,straight_shota"
tapering_penis,0,34561,"cone_cock,cone_dick,cone_penis,tapered_cock,tapered_dick,tapered_penis"
partially_retracted_foreskin,0,33823,
cunnilingus,0,33676,"cunninglingus,cunninlingus,eating_out,eating_pussy,licking_pussy,pussy_eating,pussy_lick,pussy_licking"
cum_inflation,0,33193,"cum_belly,cum_bulge,cumflated,cumflation,spooge_inflation"
gynomorph/female,0,32779,"d/f,d_f,dickgirl/female,dickgirl_female,dickgirl_on_female,f/d,f/gm,f_d,female/dickgirl,female/gynomorph,female_dickgirl,female_on_dickgirl,female_on_gynomorph,fm/gm,gm/f,gm/fm,gynomorph_on_female,shemale_on_female"
vaginal_masturbation,0,32407,pussy_masturbation
bottomwear_down,0,31804,
genital_slit,0,31415,"cock_slit,genital_slits,genital_vent"
missionary_position,0,31046,missionary
gynomorph_penetrating,0,30978,"dgirl_penetrating,dickgirl_penetrating,newhalf_penetrating,shemale_penetrating"
double_penetration,0,30928,"double_insertion,dp"
gaping,0,30853,gape
medial_ring,0,30769,"median_ring,preputial_ring"
white_balls,0,30765,
human_penetrating_anthro,0,30669,hn/p/a
object_in_ass,0,30606,
cum_on_butt,0,30577,"cum_on_ass,cum_on_booty"
titfuck,0,30354,"boob_fuck,boob_job,boobjob,breast_fuck,breast_job,paizuri,pazuri,tit_fuck,tit_fucking,tit_job,titfucking,titjob,titty_fuck,tittyfuck"
anthro_on_feral,0,30292,"a/o/f,an/fe,anthro/feral,anthro_bestiality,anthro_x_feral,anthroxferal,f/o/a,fe/an,feral/anthro,feral_on_anthro,feral_x_anthro,feralxanthro"
foot_play,0,30090,"footplay,paw_play,pawplay"
imminent_sex,0,30012,"before_sex,imminent_penetration,impending_sex,inminent_sex"
blue_penis,0,30008,"blue_cock,blue_dick,cyan_penis,indigo_penis"
human_penetrated,0,29952,non-humanoid_creature_penetrating_human
musk,0,29742,musky
cum_on_breasts,0,29398,"boob_cumshot,cum_on_boob,cum_on_boobs,cum_on_breast,cum_on_tits"
spread_pussy,0,29285,"pussy_spread,pussy_spreading,spread_vagina,spreading_pussy,spreading_vagina,spreadpussy,visible_vagina"
sex_toy_in_ass,0,29170,sextoy_in_ass
loli,0,29102,lolicon
orgasm_face,0,28733,"o-face,o_face,oh_face"
multi_genitalia,0,28687,"extra_genital,extra_genitals,multi_genital,multi_genitals,multigenital,multigenitals,multiple_genital,multiple_genitalia,multiple_genitals,mutliple_genitals"
anatomically_correct,0,28613,correct_anatomy
genital_piercing,0,28302,genital_piercings
human_on_humanoid,0,28178,"hd/o/hn,hn/o/hd,human/humanoid,humanoid/human,humanoid_on_human"
cum_on_body,0,27969,cum_outside
half-erect,0,27944,"half-erected,half-erection,half-flaccid,half-flaccid_penis,half-mast,half_erect,half_erected,half_erection,half_flaccid,half_flaccid_penis,half_flacid,half_mast,halfmast,partial_erection,partially_erect,semi-erect,semi-erect_penis,semi-erection,semi_erect,semi_erect_penis,semi_erection"
rimming,0,27839,"analingus,anilingus,ass_eating,ass_licking,butt_eating,eating_ass,licking_anus,rim,rim_job,rimjob,tongue_in_anus,tongue_in_ass"
detailed_bulge,0,27757,detailed_bulges
female_on_feral,0,27513,"female/feral,feral/female,feral_on_female"
fondling,0,27491,fondle
precum_drip,0,27393,dripping_precum
bouncing_balls,0,27205,"bouncy_balls,swinging_balls"
genital_outline,0,26804,"genital_bulge,genitalia_bulge,genitalia_outline"
pants_down,0,26693,pants_drop
spread_butt,0,26615,"ass_spread,ass_spreading,booty_spread,booty_spreading,butt_spread,butt_spreading,speading_ass,spread_ass,spread_booty,spreading_ass,spreading_booty,spreading_butt,spreading_cheeks,spreading_rear"
cum_string,0,26380,"cum_strings,cumstring"
standing_sex,0,26267,
herm,0,26219,"adult_herm,herm_student,herm_teacher,hermaphrodite"
fucked_silly,0,26213,
gagged,0,26123,
multi_penis,0,26119,"multi-cock,multi-penis,multi_cock,multi_cocks,multi_dick,multicock,multipenis,multiple_cock,multiple_cocks,multiple_penis,multiple_penises"
anal_orgasm,0,25933,orgasm_from_anal
male_on_feral,0,25669,"feral/male,feral_on_male,male/feral"
blue_nipples,0,25522,"blue_nipple,cyan_nipples,indigo_nipples,light_blue_nipples"
nipple_fetish,0,25509,
urine,0,25272,"pee,piss,soft_watersports"
nipple_play,0,25124,"flicking_nipple,flicking_nipples,fondling_nipple,fondling_nipples,nipple_flick,nipple_flicking,nipple_fondle,nipple_fondling,nipple_fuck,nipple_rub,nipple_rubbing,nipple_stimulation,nipple_tease,nipple_teasing,nipples_flick,nipples_flicking,nipples_fondle,nipples_fondling,nipples_rub,nipples_rubbing,nipples_stimulation,nipples_tease,nipples_teasing,rub_nipple,rub_nipples,rubbing_nipple,rubbing_nipples,stimulating_nipple,stimulating_nipples"
retracted_foreskin,0,24982,
sexual_barrier_device,0,24857,"barrier_contraceptive,sex_barrier,sex_barriers,sexual_barrier,sexual_barriers"
cum_on_ground,0,24766,cum_on_floor
underwear_down,0,24730,"pulling_down_underwear,pulling_underwear_down,underwear_pulled_down"
condom,0,24729,condoms
knotting,0,24620,knotted
eye_roll,0,24473,"eye_rolling,eyeroll,eyes_rolled_back,rolled_eyes,rolleyes,rolling_eyes"
sucking,0,24190,suck
cum_on_balls,0,24100,
ball_gag,0,23410,"ball-gag,ballgag,gag_ball,gagball"
anatomically_correct_genitalia,0,23391,scientifically_accurate_genetalia
red_penis,0,23387,"red_cock,red_dick,redpenis"
penis_size_difference,0,23339,"cock_size_difference,dick_size_difference,dong_size_difference,shaft_size_difference"
balls_deep,0,22538,
presenting_penis,0,22423,presenting_foreskin
equine_pussy,0,22414,"equine_vulva,horse_pussy,horse_vulva,horsecunt"
male_on_top,0,22101,boy_on_top
plump_labia,0,21739,"fat_pussy,plmup_labia,plumb_labia,plump_pussy,plump_vag,plump_vagina,puffy_labia,puffy_pussy,puffy_vag,puffy_vagina,swollen_pussy"
andromorph,0,21727,"adult_andromorph,andro_morph,andromorph_student,andromorph_teacher,c-boy,c_boy,cboy,cunniboi,cunniboy,cunnyboi,cunnyboy,cunt_boy,cunt_man,cunt_men,cuntboi,cuntboy,cuntboys,cuntman,cuntmen,intersex_male,man_with_a_pussy,man_with_a_vagina,man_with_pussy,man_with_vagina,masculine_intersex,men_with_a_pussy,men_with_pussies,men_with_pussy,men_with_vaginas,muscular_pussy_boy/breastless_female,pussy_boy,pussyboy,vagentleman"
questionable_consent,0,21726,"ambiguous_consent,dubcon,dubious_consent,possible_rape,pseudo_rape,pseudorape,rapey"
clothing_aside,0,21613,clothes_aside
pink_pussy,0,21595,"pink_cunt,pink_labia,pink_twat,pink_vag,pink_vagina,pink_vulva"
dildo_insertion,0,21527,
deep_throat,0,21468,"deepthroat,throatfuck"
vibrator,0,21414,"anal_vibrator,vibe,vibrators"
vaginal_fingering,0,21271,"finger_in_pussy,fingering_pussy,pussy_fingering"
exposed_breasts,0,21117,"breasts_exposed,breasts_out,exposed_breast,exposing_breasts,uncovered_breasts"
gaping_anus,0,21113,"anal_gape,anal_gaping"
oral_vore,0,21061,
non-mammal_balls,0,20940,non_mammal_balls
small_dom_big_sub,0,20849,"big_sub,big_sub_small_dom,big_submissive,large_sub,large_submissive,larger_sub,little_dom,little_dom_big_sub,little_dominant,small_dom,small_dom_large_sub,small_dominant,small_dominant_big_submissive,smaller_dom"
gynomorph/male,0,20844,"d/m,dickgirl/male,dickgirl_on_male,gm/m,gynomorph_on_male,m/d,m/gm,male/dickgirl,male/gynomorph,male_on_dickgirl,male_on_gynomorph,newhalf_with_male,shemale_on_male"
canine_pussy,0,20820,"canine_vagina,canine_vulva,dog_pussy,dogina"
ineffective_censorship,0,20721,"ineffective_censoring,pointless_censoring,useless_censorship"
holding_penis,0,20710,"holding_cock,penis_hold"
anal_masturbation,0,20701,
humanoid_pussy,0,20637,"human_cunt,human_labia,human_pussy,human_pussy_lips,human_twat,human_vag,human_vagina,human_vulva,humanoid_cunt,humanoid_labia,humanoid_pussy_lips,humanoid_twat,humanoid_vag,humanoid_vagina,humanoid_vulva"
larger_penetrated,0,20613,"small_penetrator_big_penetrated,smaller_penetrating,smaller_penetrating_larger"
2_penises,0,20245,"2-penis,2-penises,2_penis,double_cock,double_penis,doublecock,doublepenis,two-penis,two-penises,two_cocks,two_dicks,two_penis,two_penises"
chastity_device,0,20218,"female_chastity,male_chastity,sheath_chastity"
cum_on_chest,0,19995,cum_on_pecs
humanoid_penetrated,0,19838,
hand_on_penis,0,19744,"hand_on_cock,hand_on_dick,hands_on_penis"
tentacle_sex,0,19681,tentacle_porn
penile_spines,0,19621,"barb_penis,barbed,barbed_cock,barbed_penis,barbs,penile_barbs,penile_spine,penis_barbs,spine_penis,spined_penis"
censor_bar,0,19559,"bar_censor,black_rectangles,censor_bars"
long_penis,0,19529,"long_cock,long_dick"
intersex_penetrated,0,19456,"futa_penetrated,futanari_penetrated"
impregnation,0,19421,"fertilisation,fertilization,impregnant"
circumcised,0,19029,"circumcised_penis,circumsised,circumsized,circumsized_penis,cut_penis"
cum_on_leg,0,18961,"cum_on_legs,cum_on_thigh,cum_on_thighs"
bouncing_butt,0,18933,"bouncing_ass,bouncing_booty"
rope_bondage,0,18679,roped
feral_penetrating_feral,0,18608,f/p/f
looking_at_genitalia,0,18559,looking_at_genitals
penis_outline,0,18558,"camel_tail,cock_outline,visible_penis_line,vpl"
pink_glans,0,18529,
reverse_cowgirl_position,0,18453,"reverse-cowgirl,reverse_cowboy_position,reverse_cowgirl"
leaking,0,18338,
toying_self,0,18282,
facesitting,0,18211,"face_sitting,facesit,sitting_on_face"
penetrating_pov,0,18069,
